Any,Mes,Desc_Mes,Temperatura
1861,9,Setembre,19.9
1861,10,Octubre,17.1
1861,11,Novembre,11.4
1861,12,Desembre,9.7
1862,1,Gener,7.7
1862,2,Febrer,8.4
1862,3,Març,11.6
1862,4,Abril,13.0
1862,5,Maig,16.8
1862,6,Juny,19.1
1862,7,Juliol,22.6
1862,8,Agost,22.4
1862,9,Setembre,18.5
1862,10,Octubre,16.7
1862,11,Novembre,10.3
1862,12,Desembre,8.4
1863,1,Gener,7.6
1863,2,Febrer,7.9
1863,3,Març,10.3
1863,4,Abril,13.3
1863,5,Maig,15.5
1863,6,Juny,20.0
1863,7,Juliol,23.3
1863,8,Agost,23.2
1863,9,Setembre,19.3
1863,10,Octubre,16.0
1863,11,Novembre,10.7
1863,12,Desembre,8.3
1864,1,Gener,7.0
1864,2,Febrer,6.7
1864,3,Març,10.9
1864,4,Abril,13.0
1864,5,Maig,18.1
1864,6,Juny,19.9
1864,7,Juliol,22.8
1864,8,Agost,23.2
1864,9,Setembre,20.0
1864,10,Octubre,15.0
1864,11,Novembre,10.7
1864,12,Desembre,7.2
1865,1,Gener,8.5
1865,2,Febrer,8.0
1865,3,Març,7.4
1865,4,Abril,12.5
1865,5,Maig,17.2
1865,6,Juny,21.9
1865,7,Juliol,23.0
1865,8,Agost,23.1
1865,9,Setembre,21.5
1865,10,Octubre,16.5
1865,11,Novembre,11.6
1865,12,Desembre,7.4
